Method,Section,Val MSE,Val MAE,MSE Delta (%),MAE Delta (%),Label
Baseline Model,Sec 9,1.0058858394622803,0.7175829410552979,0.0,0.0,Sec 9 - Baseline Model
Basic average,Sec 11,1.648267149925232,0.9361394047737122,63.862248106241516,30.4573103977359,Sec 11 - Basic average
Weighted average,Sec 12,1.2800935112836753,0.8049878883943634,27.26031733064054,12.180466164723114,Sec 12 - Weighted average
Weighted Ensemble single neuron E2E,Sec 14,1.055090069770813,0.7304667830467224,4.891631672122553,1.7954498712688485,Sec 14 - Weighted Ensemble single neuron E2E
Fusion FC Frozen (192->1),Sec 15,1.2949761152267456,0.8369791507720947,28.739869319465246,16.63866333572666,Sec 15 - Fusion FC Frozen (192->1)
Fusion FC E2E (192->1),Sec 16,1.1216768026351929,0.7523710131645203,11.511342403906527,4.84795138218616,Sec 16 - Fusion FC E2E (192->1)
Fusion MLP Frozen (192->96->64->1),Sec 17A,1.2092024087905884,0.7927727103233337,20.21268829442869,10.47819909952983,Sec 17A - Fusion MLP Frozen (192->96->64->1)
Fusion MLP E2E (192->96->64->1),Sec 17B,1.0575255155563354,0.7351319789886475,5.133751174155147,2.4455762434292954,Sec 17B - Fusion MLP E2E (192->96->64->1)
