Model,Best Val MSE,Best Val MAE,Final Val MSE,Final Val MAE,Trainable Parameters,Avg Time/Epoch (s),Input Dim,MSE Delta from Baseline (%)
All Features (Baseline),1.0631993561983109,0.7503691464662552,1.2029524445533752,0.816089004278183,179201,0.0,12,0.0
Financial (Economic Context),1.2528169316016824,0.7980523091883747,1.5628215391943059,0.9242367516266057,175105,0.18700576305389405,4,17.83462097657662
Creative (Core Talent),3.016654453394603,1.3188556788157833,3.0425112109974117,1.3254506491444593,175105,0.3746704864501953,4,183.73366065431745
Metadata (Cataloging Specs),2.352881158934049,1.1465925626228193,4.602178936355685,1.8196014404296874,175105,0.5590112137794495,4,121.30197363430149
