epoch,train_mse,train_mae,val_mse,val_mae,epoch_time
1,297.05354252924553,17.125022013731435,294.3404332822086,17.062198044478528,0.3966524600982666
2,288.5563962276551,16.87429222323541,283.064398006135,16.727957246932515,0.3043375015258789
3,274.5534100617771,16.452818989879074,264.89988496932517,16.174452406058283,0.3003804683685303
4,252.8240051590431,15.77359557527849,237.7660467791411,15.309470858895706,0.2975308895111084
5,222.05717768303103,14.757256123796497,201.01781058282208,14.051215011503068,0.3103621006011963
6,182.7094670084122,13.334824940132918,155.71243289877302,12.319207726226994,0.3181028366088867
7,135.4894734572161,11.389709793556126,105.09495782208589,10.027811661234663,0.30071520805358887
8,86.33952053964576,8.887146605803514,56.13545341257669,7.115925757285276,0.2966742515563965
9,42.394406997568346,5.823741379345755,19.59270513803681,3.6904539517829753,0.29194021224975586
10,17.272566385198967,3.3836861178200577,9.711640265529141,2.530788679064417,0.29424405097961426
11,12.686092918227523,2.8654741353417044,8.06360057994632,2.2877480348926382,0.2759678363800049
12,10.938163364221872,2.6599129918496565,6.959685343174846,2.1213013444210125,0.2923898696899414
13,9.73466210911828,2.4926538637885285,6.0048390768788344,1.9656525594325154,0.30933117866516113
14,8.690237243844884,2.3501546159778357,5.185856619056748,1.8187663259681748,0.3385603427886963
15,7.41710716592526,2.167177924347726,4.5435265289493865,1.6928757369152607,0.32466578483581543
16,6.629192588958579,2.056016226045466,4.046515229582055,1.5866459571510736,0.27876806259155273
17,6.016940785758002,1.9282629131393352,3.664644842791411,1.5009726682323619,0.46466660499572754
18,5.5162975419583,1.850927029999774,3.441924786713957,1.4576583768692484,0.32495856285095215
19,5.138204612691821,1.7852038875864633,3.1567179112346624,1.3785900654236962,0.3372673988342285
20,4.807698760248258,1.705923198776165,3.0118442652415642,1.343032556077454,0.28015899658203125
21,4.712448585422006,1.690872160292825,3.0066840610621166,1.3522052039398007,0.32649707794189453
22,4.448616757879247,1.646804440535456,2.901176068826687,1.302069953029141,0.30725741386413574
23,4.542984843128738,1.6640420265879665,2.942957666315184,1.3310800002396472,0.3415050506591797
24,4.211734470884883,1.5868211459411556,2.9046485573236196,1.313479108751917,0.31072330474853516
25,4.3409319535665585,1.6292544985669895,2.917210865605828,1.3213321990030675,0.2796022891998291
26,4.439916536509677,1.6389630916366817,2.924605780291411,1.3275851945935584,0.3166935443878174
27,4.3119062229160505,1.621544526077094,2.9000919646280674,1.316032250527224,0.2951476573944092
28,4.189294520236716,1.5861312352771137,2.885320707917945,1.308146508339724,0.3578760623931885
29,4.369298106613721,1.6287073803248842,2.8676185654716257,1.3007703160947086,0.34339237213134766
30,4.17337029714815,1.5839642465553323,2.9851059240797544,1.355359710506135,0.33713555335998535
31,4.23925879124462,1.6166540922050596,2.874523101993865,1.3065910479773772,0.3043642044067383
32,4.062934482385934,1.5654610955752786,2.907908958013804,1.3214123310486963,0.27724742889404297
33,4.174801237826342,1.5962655180761616,2.9455767110812885,1.338653302338957,0.27723264694213867
34,4.0607620704562635,1.578874293185935,2.855213825249233,1.296280974405675,0.35272669792175293
35,4.117030628096042,1.5815725396734934,2.8811065112154908,1.3107904165069018,0.28630781173706055
36,4.022689514481056,1.5659141179514984,2.8408601538535274,1.2809339652032208,0.294036865234375
37,3.965700023181807,1.542165144510199,2.8515376365989265,1.2938229426284509,0.32207345962524414
38,4.030479150364953,1.5619934836145957,2.8903838549654908,1.3166713597584356,0.3186228275299072
39,4.038792254170158,1.55989697252789,2.879932239743098,1.3122339915644172,0.30161309242248535
40,4.058982921323565,1.575642799353374,2.9402888947469323,1.3382899372124233,0.307354211807251
41,4.088185243175358,1.572714628105284,3.0964861723542945,1.394302087327454,0.2831535339355469
42,3.9885582668172073,1.5541428125744488,2.8203445528182516,1.2792742582917944,0.3014369010925293
43,4.048011563177741,1.565289101264705,2.927794286809816,1.3348894926667945,0.2852191925048828
44,3.9888089056646785,1.564503353852955,2.8303435343174845,1.28930993577454,0.3001995086669922
45,4.039205813884234,1.5637014170425045,2.8217267182707055,1.2864942304927147,0.2853231430053711
46,3.919164021809896,1.538411273815905,2.8713333972392636,1.3119353311924846,0.28383755683898926
47,4.017657884663964,1.569810179380463,2.8733742930406443,1.3136119631901841,0.3874940872192383
48,4.02901454728986,1.5573994489122265,2.8088384897430982,1.2794181964148772,0.28978776931762695
49,3.8221082075662545,1.525242642022583,2.9467306125383437,1.343155225508052,0.31758642196655273
50,3.9043521339584975,1.528288928492212,2.8551847680214726,1.3061111543807515,0.3126051425933838
51,3.894369965722759,1.5379553392733183,2.8372879121932515,1.2981899144459357,0.3116133213043213
52,3.942336346198081,1.546643911977421,2.8655584978911044,1.3116157016871166,0.3086681365966797
53,3.8189093813409816,1.5222086059056872,2.8472512461656443,1.303271484375,0.31458067893981934
54,3.842726377533312,1.5337279005882993,2.7933255248274538,1.268290027080138,0.3150601387023926
55,3.878065989721962,1.526740121289884,2.8119452166411043,1.2849747172162578,0.3631629943847656
56,3.8956263529138737,1.5263927391525574,2.8534464268596627,1.3057993134106596,0.30396556854248047
57,3.838554101536828,1.5289022243110664,2.832939213477761,1.2980489719133435,0.29546141624450684
