epoch,train_nll,val_nll,val_mse,val_mae,temperature,entropy_weight
1,1.8752631930522738,1.6220857421313326,1.450641105365168,0.9663382929526955,2.5,0.01
2,1.8982424802459252,1.613256695958003,1.4205294614920587,0.9597812841274987,2.484848484848485,0.0095
3,1.9030661936438047,1.7353161098035568,1.586056943320058,1.0346287703952906,2.4696969696969697,0.009000000000000001
4,1.9082757144320275,1.6003731692495522,1.4019488966538132,0.946914794108619,2.4545454545454546,0.0085
5,1.8838207612654387,1.5526198115085532,1.1633417594652233,0.822361445719479,2.4393939393939394,0.008
6,1.8765686850693197,1.5089399715142748,1.152729978444386,0.8063657560231495,2.4242424242424243,0.0075
7,1.9003292542777477,1.4836732090616518,1.1407258231215682,0.7533860839217719,2.409090909090909,0.006999999999999999
8,1.882800995864828,1.4908521900879093,1.1022518507542054,0.7556858588581437,2.393939393939394,0.006500000000000001
9,1.8846330652728316,1.5554130570288816,1.2051034868860537,0.8449362471059787,2.378787878787879,0.006
10,1.853163229428882,1.6193014569077755,1.4046109638331126,0.9549120847432891,2.3636363636363638,0.0055000000000000005
11,1.8695171231601768,1.6063586447136533,1.3692549363235755,0.9244292360141965,2.3484848484848486,0.005
12,1.861091149843579,1.5781429549667734,1.3334360489816022,0.9127929788425656,2.3333333333333335,0.0045
13,1.8620826979916931,1.5813103765066416,1.2282896897544158,0.857552013514232,2.3181818181818183,0.004
14,1.8544101168555291,1.5549796629537103,1.3012362803418211,0.8972899333099646,2.303030303030303,0.0034999999999999996
15,1.8415438661314587,1.4818267465369102,1.0977001839620204,0.7734342744014014,2.287878787878788,0.0030000000000000005
16,1.851867949298253,1.5539839011759846,1.2074684965098563,0.8421714915819695,2.272727272727273,0.0025
17,1.8681015580986577,1.6071909303314116,1.483902885431161,0.9950890486957106,2.257575757575758,0.0019999999999999996
18,1.8651566218377162,1.603186568453268,1.3464919376958366,0.9230613266763512,2.242424242424242,0.0015000000000000002
19,1.8489544181041537,1.6982659995190206,1.6733181216234079,1.072090956769838,2.2272727272727275,0.0009999999999999998
20,1.8532603091622,1.7264399132114248,1.8521812479920183,1.1395321031289598,2.212121212121212,0.0005000000000000004
21,1.8539823692303727,1.6566595340798969,1.4763841512013067,0.9854323947356523,2.196969696969697,0.0
22,1.8399209428410175,1.6004626432079478,1.3213974831294428,0.9132970346263581,2.1818181818181817,0.0
23,1.8539100429111726,1.5113230020721997,1.2223881349973151,0.8598187567997564,2.1666666666666665,0.0
24,1.8452431573978108,1.5160246335655634,1.09696951161133,0.7745224109456583,2.1515151515151514,0.0
25,1.8328093820565883,1.5032781747221216,1.1015890785521525,0.7730507699989834,2.1363636363636362,0.0
26,1.8435792682298726,1.540503587898301,1.1557745825293606,0.8118006878835292,2.121212121212121,0.0
27,1.8240173316779071,1.5367693490045933,1.2558470534400705,0.8711577982990288,2.106060606060606,0.0
28,1.8098558972185217,1.5139651968435275,1.169485121124361,0.8230650438121492,2.090909090909091,0.0
29,1.817672606146298,1.6772483585802325,1.5941467563067477,1.0412534487028065,2.0757575757575757,0.0
30,1.82726241975678,1.7047843579134327,1.67022851493461,1.0658033716166677,2.0606060606060606,0.0
31,1.8247955823170274,1.6034980039655065,1.4425635437292554,0.9710427060449051,2.0454545454545454,0.0
32,1.8204331934514733,1.5561511910034835,1.209293014140217,0.8519947283107079,2.0303030303030303,0.0
33,1.8173834761109136,1.6043151776483453,1.3846022698045508,0.9431962490081787,2.015151515151515,0.0
34,1.82427358351546,1.5707522168481276,1.3033182874047684,0.9031629574079455,2.0,0.0
35,1.8017269268898306,1.5901034122595759,1.3390877777813401,0.913307949955478,1.9848484848484849,0.0
36,1.8119684700960867,1.5748351031285854,1.3646270592519842,0.9231512037522954,1.9696969696969697,0.0
37,1.8028306425808607,1.4973498667676024,1.1221908450857994,0.7856430884519238,1.9545454545454546,0.0
38,1.8203445316990592,1.591794954340882,1.3462802790425306,0.9210101275356269,1.9393939393939394,0.0
39,1.8016653851881137,1.4940894164922047,1.1771945628651812,0.8292390280706019,1.9242424242424243,0.0
40,1.8002960235663894,1.6709231875425468,1.5100622241482413,1.0036483905066742,1.9090909090909092,0.0
41,1.8040835068930337,1.6148946286710493,1.4024657852079239,0.9496667279787591,1.893939393939394,0.0
