epoch,train_nll,val_nll,val_mse,val_mae
1,1.4584996939708257,1.4752371843607148,1.0939945586619932,0.7703784982850946
2,1.451538610282882,1.4689880476407478,1.0899030274408728,0.7669654323279492
3,1.4450000778984446,1.463340309792501,1.0865213139656862,0.7639040092017753
4,1.4390646038747361,1.4581531831823245,1.0835963257982686,0.7611824453974063
5,1.4335783783945752,1.453433477805436,1.0809540886089115,0.7586789177970652
6,1.428612196859125,1.449122761071094,1.0786751561369632,0.7564744439593122
7,1.4239595813831445,1.4453625924748146,1.0771066801679647,0.7548639397679663
8,1.4198486061627682,1.4418116470056077,1.0755526194543195,0.7532487216902657
9,1.416014090196066,1.4386329611386257,1.074324100734266,0.7518999337418679
10,1.412511095639659,1.4357528236014712,1.0732681654713636,0.750616332650916
