epoch,train_mse,train_mae,val_mse,val_mae,epoch_time
1,203.60264791173765,12.183323391855202,45.54048974908934,4.5024578819976995,0.16996383666992188
2,30.460490550653915,4.513618284720853,12.551626980085315,2.7702547787157306,0.17272233963012695
3,10.568407221171382,2.602865602190437,4.077433430490318,1.6894719691364313,0.16839909553527832
4,5.553852037175095,1.8740452105565277,1.6729528321810294,0.9985802164838358,0.19645261764526367
5,5.30741072052034,1.8147678796425226,1.8195759030207534,0.9984507648491421,0.19759869575500488
6,5.911394490303176,1.9280834739516586,2.5514885463597583,1.1170834266334955,0.18970537185668945
7,5.657432403724903,1.8976172638741702,4.520322254391536,1.7781569872897096,0.199629545211792
8,4.62963538265128,1.6822777315895892,1.5596034793034652,0.9457085077016631,0.1897752285003662
9,4.062385711509472,1.592898933418667,1.5839361272706576,0.918745941911007,0.18503952026367188
10,3.8214937484853526,1.5408253714865314,1.6416345701627204,0.9635368908841185,0.17420482635498047
11,4.056192728999285,1.57924940909497,1.330073144830809,0.8563764420023725,0.18500757217407227
12,4.126458233212572,1.6096331318595558,1.8452084032304448,1.1144911221931317,0.153059720993042
13,4.416592266030618,1.65474383236858,3.9006008031178108,1.761457918319234,0.14745116233825684
14,4.721615138490117,1.7374684025937952,3.967437051410324,1.6969939811098063,0.15511369705200195
15,5.341975006520685,1.8616199513464444,1.670451195839724,0.9725208867546971,0.15594220161437988
16,4.930196350931996,1.7754368827170002,1.434594295946367,0.9224597252219733,0.15511155128479004
17,4.801876545453799,1.7226142522288421,3.0975704824997603,1.5199943870123178,0.1466655731201172
18,4.999031492086866,1.7636375708033485,2.9666984136850556,1.4949984778655818,0.16187191009521484
19,4.8705154884250135,1.7518288645458522,2.1808162759418135,1.2361002916207342,0.148878812789917
20,5.010067784322424,1.7670228719460601,1.6777876403434144,0.9671509491154021,0.15982651710510254
21,4.370189999681667,1.660821098383794,2.1514020861292176,1.2260215431634633,0.15574932098388672
22,3.93468328530104,1.5679872675272946,2.418793510951879,1.1519805627366517,0.16588950157165527
23,6.70281311741136,2.072841094746073,3.3751462971505943,1.587757274417058,0.14496111869812012
24,4.400257146696939,1.672680450664083,4.351074293639762,1.8532684887845092,0.17841696739196777
25,4.8542613321298305,1.7427085130372635,2.8226156223039687,1.447467069099286,0.15029001235961914
26,4.616435455097636,1.7134830141919895,2.0637415692850123,1.1245271366798073,0.1578078269958496
27,4.332701625884144,1.632587284445136,1.9832206023982697,1.1299216147580762,0.15084481239318848
