epoch,train_mse,train_mae,val_mse,val_mae,epoch_time
1,155.23908767138622,10.694604273975585,16.535761434168904,3.3534260942892065,1.2559938430786133
2,21.933875628450316,3.8373336390867343,11.537109899228335,2.87038903733704,1.149043083190918
3,9.648313151298387,2.4594412481747217,4.424570282544095,1.699041392320504,1.161482572555542
4,7.35228770162781,2.1266417799186508,4.71295594759514,1.82674923762222,1.1631417274475098
5,6.309949198982568,1.9908829938726094,3.2248878151361198,1.4200386936679208,1.1634900569915771
6,6.2379909639729565,1.9821845855873341,4.010883579371166,1.626320868182036,1.1637401580810547
7,5.715588077260367,1.9003059154554622,2.5253407296958876,1.2006733900198907,1.1617083549499512
8,5.402150889175046,1.839380442782782,2.8959547358787865,1.3194954620548554,1.158121109008789
9,5.250731812165237,1.8164068998222471,2.47051342923217,1.1780156562664756,1.1453216075897217
10,6.329812804983241,1.9833475668472949,3.387327191873562,1.5059515736585747,1.136256456375122
11,6.188790691387767,1.9863904357332536,4.23911130940256,1.7178303537193251,1.1440925598144531
12,6.1529924170075905,1.9787784740877201,5.892006603779237,2.1141572168268308,1.151963472366333
13,6.366252397763867,1.9993415856587022,4.336600592677579,1.7340716964628067,1.150261640548706
14,6.44096764405067,2.029975425808462,4.327125259118578,1.7393838051637989,1.1540837287902832
15,6.165088384810808,1.9778794570425458,2.499012681457894,1.1865700142515219,1.1582729816436768
16,5.664435096845015,1.8844733173037427,2.509770408583565,1.2224522222039158,1.1196856498718262
17,5.423450875106796,1.8483575365646154,2.618214809675158,1.2149153539739503,1.1410386562347412
18,5.210732862149628,1.8195735718800317,3.528677124772335,1.5372352553291555,1.1430304050445557
19,5.275345089307719,1.8106256158068603,3.0759836021376534,1.4008626177267063,1.1307668685913086
20,5.3758059400363924,1.8282794089974164,3.5396756973734664,1.5098538264175134,1.134657382965088
21,6.729343642947802,2.0670932083851907,5.033329127025019,1.9206549989665214,1.3679664134979248
22,5.730758169597381,1.9005884758180123,2.531700770840323,1.22107692320654,1.1466219425201416
23,5.716245665284487,1.8842727548817857,2.4814497216347537,1.2183080427485742,1.1546592712402344
24,5.102720531379386,1.8023063828140402,3.418480321966066,1.5110913891002444,1.1605846881866455
25,5.275723013090661,1.797589700179396,2.7208293329718654,1.2982708468758988,1.1610608100891113
26,5.5826795479727345,1.8719652819708694,2.881869225999329,1.3377032788984615,1.141165018081665
27,5.025069484449962,1.759176492941743,2.4302231396634153,1.1758766548765218,1.1572110652923584
28,6.0982248524887455,1.9743816002686316,2.893167788265673,1.2898460154153086,1.1545205116271973
29,5.707966159696208,1.8849210608770168,3.275815493343798,1.4539689795371213,1.141171932220459
30,5.556134212907055,1.8596486072560339,4.189518166758531,1.642733287226203,1.1569221019744873
31,5.617790182055485,1.8677600014222282,2.5862068503912243,1.224029611224777,1.1419718265533447
32,5.3294703727264885,1.8279494517233092,2.953636908969996,1.3786860179316047,1.156702995300293
33,5.101830419305747,1.7858786758438896,2.386605694542633,1.1604391133127037,1.1683058738708496
34,5.080377909663348,1.775934012781057,2.796247274012653,1.328957680544239,1.1559457778930664
35,5.202196732931207,1.8205554051604806,2.3783569148713095,1.1606217226367788,1.1850035190582275
36,4.864000996329932,1.7437991634653696,2.6596494148113976,1.2820941808033575,1.202834129333496
37,5.283133553907072,1.8000740989901667,2.42873567920521,1.162582776590359,1.1549723148345947
38,5.255007546281464,1.8007165084501922,2.84083317481667,1.3410937350220475,1.1547951698303223
39,4.999406656130882,1.7605543086456075,2.4209817617217455,1.1699263543439058,1.2638707160949707
40,4.995651967141907,1.765754980494422,2.5696482652535466,1.251172436673217,0.9535987377166748
41,5.2945457482563585,1.8149753654792857,2.3944414197301573,1.1558644768650546,0.5930562019348145
42,5.210618846423994,1.776535459372022,2.970636548001342,1.381506974858009,0.5291907787322998
43,5.340172094752234,1.8159214826036327,2.499372891853192,1.1954207016646496,0.554218053817749
44,5.228670683819663,1.8007234077975076,2.8912544297294382,1.3569458756710122,0.5492973327636719
45,4.968728563888341,1.762844482806955,2.352881158934049,1.1465925626228193,0.6057033538818359
46,5.3114976371500395,1.820749036145135,2.680806690052243,1.2883386998088813,0.9616518020629883
47,5.131825604524021,1.7798863119131383,2.380055190010305,1.154243164998622,1.5335595607757568
48,5.110543813615191,1.7827136323529713,2.845635387210027,1.3436103493158071,1.4715678691864014
49,5.087163161028071,1.7759665760958858,2.389524860031034,1.1555750138920509,1.5658071041107178
50,5.025135990949083,1.7739430777532696,2.81325749122292,1.3314927738868385,1.616121768951416
51,4.9750111897786455,1.7582801714555196,2.479172801386359,1.1853625993787145,1.6452536582946777
52,4.986849603342082,1.754243924916104,2.570670987930766,1.2125813864491468,1.8915605545043945
53,5.026437817562517,1.753116611677264,3.20560830707199,1.4406483843282687,1.789001226425171
54,5.9629962652388935,1.9498141075158344,2.6521823625623084,1.2735245219037576,1.8779683113098145
55,5.321292239408764,1.8237522658740184,2.6773586343402513,1.2780774403203485,1.8577995300292969
56,5.641771543163857,1.8668669531147313,2.566481345709116,1.244047757014175,1.831336259841919
57,4.982278336485853,1.7741942059730507,2.696228944743338,1.2240110385637342,1.763838291168213
58,4.943518108123234,1.753102837050124,2.4615565481361434,1.182327050519136,1.6768434047698975
59,5.071986891368461,1.7839629838143238,4.377862829664734,1.732143725061709,0.7477560043334961
60,5.870258928974845,1.911057465209319,2.5058584388779717,1.2178630711842169,0.5660443305969238
61,6.485160594984309,2.03146420066665,8.936834379792945,2.698376633345715,0.5619854927062988
62,7.116643285901764,2.154421055229179,5.657426368385736,1.9448650804765386,0.5040161609649658
63,7.104417610369019,2.1246814667614475,5.9903604144699,2.134880964595116,0.5985419750213623
64,6.700956583273775,2.0592668214430945,2.7965256579814515,1.318375672884514,0.5114407539367676
65,4.946422171768204,1.75533925245989,2.404470581803585,1.1719614134244392,0.5424163341522217
66,4.976066196253122,1.7650045962489116,3.9340345698631616,1.6505435030884539,0.5236122608184814
67,4.860738760289333,1.750793785953622,2.838085038822853,1.26548939804358,0.5053555965423584
68,5.062036813120235,1.781496451104101,3.5364444100783645,1.5442712233841784,0.5205984115600586
69,5.121474449566862,1.7916303969582799,2.7756864208385257,1.2514750521607194,0.5203616619110107
70,4.864297154824691,1.733260747386078,3.3848697966593173,1.5028446876198236,0.5240964889526367
71,4.931838203053118,1.7659657715998989,2.5038585264989934,1.1903588605073332,0.5049402713775635
72,5.000939145574559,1.7631809463260302,2.836249228635449,1.3358374847224885,0.5208430290222168
73,5.1481114336368785,1.8035553652405363,2.4764829670724695,1.2073036427878163,0.5840365886688232
74,5.562067250473391,1.8810402421921208,2.56138817722812,1.1928281865968295,0.5453493595123291
75,5.184934694308212,1.799484285019675,5.065989207636359,1.9237824048001342,0.5216655731201172
76,5.69085022678636,1.900090792201671,4.536245540314657,1.7708968648149923,0.5162615776062012
77,5.615066624590275,1.8631988188445756,3.7263505432503354,1.5848566347835986,0.5328648090362549
78,5.392089683300062,1.8513428921704538,2.44730093552291,1.172089980423816,0.5162882804870605
79,5.244956673382459,1.8172541156050785,3.144957541249281,1.3501171275881902,0.5413227081298828
80,5.592785872370161,1.8823973357865487,3.2040193335410274,1.365212633565891,0.5201354026794434
81,5.418564372258231,1.8507740329618083,2.8073740953316717,1.259909993739216,0.503847599029541
82,5.650856122358865,1.8718846237872553,2.6210223051667945,1.2691139548834116,0.5359394550323486
83,5.4001181970510075,1.839049426539087,4.492168215886215,1.786988156558546,0.662539005279541
84,5.479690824522707,1.8408448212279631,4.367130789727521,1.7669007377390482,0.5334770679473877
85,5.40784071672602,1.8353010191651675,3.2684151491504507,1.4694581014247028,0.5165112018585205
86,5.543394263234425,1.8615763250084205,2.405416196109327,1.161166269501294,0.4992635250091553
87,5.536429548614534,1.8878355938804137,3.1466966687535947,1.35096237557066,0.5294973850250244
88,5.480442051130389,1.8471883138020833,3.313124430837807,1.3899241113955259,0.5523924827575684
89,5.38949463018985,1.8475808064393566,2.5566014576543328,1.1953641130880344,0.541008710861206
90,5.538169275197571,1.8704229649685158,2.7466037867259394,1.3108672346805503,0.5332791805267334
91,5.440065819131588,1.8484689931137455,4.126394447373467,1.7018607203945793,0.5915820598602295
92,5.643483383547745,1.87734675683183,4.778275191418232,1.8655459164110428,0.5185906887054443
93,5.617383666093668,1.8755572586781595,3.5624591101898004,1.5542651872693396,0.5701332092285156
94,5.52634228566969,1.8660326054168925,2.38576494462651,1.1563961754547307,0.5600388050079346
