Method,Val MSE,Val MAE,MSE Delta (%),MAE Delta (%)
Baseline,1.0423187017440796,0.7248956561088562,0.0,0.0
HME (3x5),1.0977001190185547,0.7734342217445374,5.313290184835702,6.695938267340397
