expert,branch,leaf,year_mean,year_std,budget_mean,budget_std,votes_mean,votes_std,runtime_mean,runtime_std,score_mean,score_std
0,0,0,2000.65817001948,10.935977832886662,31986915.65759189,37692941.42991552,99296.87744331076,177011.06468985145,108.3131939209258,18.747386341272385,6.389631491114692,0.9356087582426749
1,0,1,1955.6340370509963,39.0604562465279,4950367.212484194,7105529.204157602,14002.501793179154,23879.487880297806,95.96741372542114,13.714229172163662,6.171204139043911,0.7689706353566552
2,0,2,1999.2467326414487,11.108520216726667,22239685.79699059,29447281.10209276,68793.81924253581,132797.9238886606,106.77793954727008,19.69758706678765,6.359879033497519,0.9183101709211059
3,0,3,1933.8083060100994,59.57045824628409,4128676.8848429797,6298470.052675853,13107.565728377822,22494.780432749794,93.8611095487968,13.291946886323176,6.123008221624231,0.7654526410444527
4,0,4,1996.475335336308,10.78381959663051,10026395.410488833,14680791.621070296,31135.85724500796,60551.856375206116,101.88149656892206,16.91195068564972,6.320886555104137,0.8609436442962657
5,1,0,1968.015450722973,28.123170492222634,7873869.558505947,10039099.19104511,17600.46287165014,31713.109365046115,99.02812624668961,14.65902026319496,6.155879648968429,0.8088403818414429
6,1,1,2001.8039807552498,10.734618229216071,38588718.09470513,42611986.70783752,117795.51551252606,200012.0097969515,109.08763880663072,18.99823309265708,6.370600074164524,0.9699129712853118
7,1,2,1999.0482161797963,10.847559919687333,22967873.128666896,28751330.90204484,65346.89398230051,124399.41619521531,106.17594189169824,17.70884107634919,6.320133281002034,0.9234503198896868
8,1,3,2001.776467951505,10.755463791696858,39227933.01151932,43234062.232078545,121205.33874339893,206028.4892538322,109.58479672854348,19.29681241127786,6.389217568830526,0.9674612319782765
9,1,4,2002.9026478559197,10.412273763623551,47376669.77754711,47732743.07546383,143718.2759791195,225728.73985401803,110.39188405019773,18.641808734308817,6.411543988156762,0.9607958580486557
10,2,0,1997.1141401883683,10.83905499335085,13603767.220876103,19004603.75974926,39820.75436350923,80072.29339286522,103.67989692212711,17.62617136747887,6.326532281696091,0.879984632854178
11,2,1,2001.4428954922023,10.840269916096005,38128120.39428607,42471730.44014695,119809.83951621129,206179.79170420993,109.43299740131488,19.100466980665104,6.417621601515387,0.948171976668658
12,2,2,1996.7127559973655,10.71893789446148,11685311.781817203,16265249.615423156,32801.637288438906,64509.95709653951,102.7284735568274,16.969748770693872,6.302912974409181,0.8692518592801726
13,2,3,1999.816473440529,11.07431070056203,28296355.02642116,35117694.567762844,89596.02073200354,169498.0288584588,108.16024227735537,20.34731473321728,6.387385663532404,0.9452168251045306
14,2,4,2000.054678394787,11.059398475952259,29368489.39593304,36102209.855638586,93105.65341521394,174341.34627204883,108.48366853643161,20.392546035643484,6.391261451957817,0.9481134633994559
