num_experts,tau,entropy_weight,lambda_balance,seed,best_val_mse,best_val_mae,mean_val_entropy,min_usage_hard_full,usage_hard_full
2,12.5,2000,0.2,0,1.049079494827364,0.7438658347890421,0.6931471054363837,0.15460123121738434,"[0.15460123121738434, 0.8453987836837769]"
2,12.5,2000,0.5,0,1.0537542913589009,0.7433551297597358,0.6931471055738766,0.15950919687747955,"[0.15950919687747955, 0.8404908180236816]"
2,12.5,2000,1.0,0,1.053321512491425,0.7461989747965994,0.6931471058488624,0.15092024207115173,"[0.15092024207115173, 0.8490797281265259]"
2,12.5,2000,2.0,0,1.0552583562815847,0.7461632305127711,0.6931471049624719,0.15214723348617554,"[0.15214723348617554, 0.8478527665138245]"
2,12.5,2000,5.0,0,1.055854489028088,0.7480543163656457,0.6931471058488624,0.1411042958498001,"[0.1411042958498001, 0.8588957190513611]"
2,12.5,2000,10.0,0,1.053154623874126,0.7467597721544511,0.6931471032584372,0.06012269854545593,"[0.06012269854545593, 0.9398772716522217]"
2,12.5,2000,20.0,0,1.056978147161519,0.7498721772907702,0.6931471061545648,0.06380368024110794,"[0.06380368024110794, 0.9361963272094727]"
2,20.0,2000,0.5,0,1.0664569788915248,0.75516546555092,0.6931469624686096,0.3263803720474243,"[0.3263803720474243, 0.6736196279525757]"
2,20.0,2000,2.0,0,1.0664754937762864,0.7524868277684311,0.6931469630492978,0.33496931195259094,"[0.33496931195259094, 0.6650306582450867]"
2,20.0,2000,10.0,0,1.0630513948896911,0.7543160029715555,0.6931469630492977,0.3656441569328308,"[0.3656441569328308, 0.6343558430671692]"
2,8.0,2000,0.5,0,1.0613252540307543,0.7328489277260435,0.6931467569400929,0.002453987719491124,"[0.9975460171699524, 0.002453987719491124]"
2,16.0,2000,0.5,0,1.0646419413981993,0.7525891976853821,0.6931469494930806,0.33251532912254333,"[0.33251532912254333, 0.6674846410751343]"
2,30.0,2000,0.5,0,1.0602383019734014,0.7421264431227935,0.693146986004765,0.06257668882608414,"[0.06257668882608414, 0.9374232888221741]"
2,12.5,1500,2.0,0,1.0505446757275634,0.7457725678484864,0.6931467638776345,0.1423312872648239,"[0.1423312872648239, 0.8576686978340149]"
2,12.5,3000,2.0,0,1.0668234991881014,0.7319689052967937,0.693147036676758,0.001226993859745562,"[0.9987729787826538, 0.001226993859745562]"
2,12.5,4000,2.0,0,1.0401691717604187,0.729221606181443,0.69314698337631,0.002453987719491124,"[0.9975460171699524, 0.002453987719491124]"
2,12.5,1500,10.0,0,1.0600697328707924,0.7548178411700243,0.6931467678590786,0.33251532912254333,"[0.33251532912254333, 0.6674846410751343]"
2,12.5,3000,10.0,0,1.0652806590671189,0.7318869380863167,0.693147033711884,0.001226993859745562,"[0.9987729787826538, 0.001226993859745562]"
2,20.0,3000,10.0,0,1.0526145265146267,0.7467132091522217,0.6931471468305296,0.08220858871936798,"[0.08220858871936798, 0.9177914261817932]"
2,8.0,1000,0.5,0,1.0651407244746671,0.7549403944629833,0.6931462253719752,0.29079753160476685,"[0.29079753160476685, 0.7092024683952332]"
3,12.5,2000,2.0,0,1.1473884345563643,0.7678305595199023,1.0986118946016932,0.011042945086956024,"[0.056441716849803925, 0.011042945086956024, 0.9325153231620789]"
3,12.5,3000,2.0,0,1.1136175426237422,0.7807553898337428,1.0986120492373508,0.014723926782608032,"[0.014723926782608032, 0.8282208442687988, 0.15705521404743195]"
3,12.5,4000,2.0,0,1.1225080601276796,0.7533247818976092,1.0986121423580897,0.017177913337945938,"[0.017177913337945938, 0.8699386715888977, 0.11288343369960785]"
3,20.0,2000,2.0,0,1.1196794577171467,0.765851954229039,1.0986119309144518,0.001226993859745562,"[0.012269938364624977, 0.9865030646324158, 0.001226993859745562]"
3,20.0,3000,2.0,0,1.1261137345085845,0.7667532136103858,1.0986121092544743,0.008588956668972969,"[0.014723926782608032, 0.9766871333122253, 0.008588956668972969]"
3,20.0,4000,2.0,0,1.1460244572235763,0.7664091951276627,1.0986121852734336,0.024539876729249954,"[0.024539876729249954, 0.733742356300354, 0.24171778559684753]"
3,12.5,2000,5.0,0,1.142967886866236,0.7670426999864403,1.0986118953505908,0.012269938364624977,"[0.052760735154151917, 0.012269938364624977, 0.9349693059921265]"
3,12.5,3000,5.0,0,1.112175454098754,0.7804982767514655,1.0986120517590294,0.017177913337945938,"[0.017177913337945938, 0.8282208442687988, 0.15460123121738434]"
3,12.5,4000,5.0,0,1.1213276005961412,0.753480254872445,1.098612141471699,0.015950920060276985,"[0.015950920060276985, 0.8895705342292786, 0.09447852522134781]"
3,20.0,2000,5.0,0,1.1202599368943758,0.7639309297310063,1.0986119310519447,0.002453987719491124,"[0.002453987719491124, 0.7214723825454712, 0.2760736048221588]"
3,20.0,3000,5.0,0,1.1331815092110196,0.7689130635349297,1.098612111501167,0.007361963391304016,"[0.01840490847826004, 0.9742331504821777, 0.007361963391304016]"
3,20.0,4000,5.0,0,1.1452700831407419,0.7679441775281005,1.0986121860223315,0.024539876729249954,"[0.024539876729249954, 0.7300613522529602, 0.24539877474308014]"
3,12.5,6000,5.0,0,1.1194930680690367,0.7898269151617413,1.0986122126608537,0.025766871869564056,"[0.025766871869564056, 0.7239263653755188, 0.25030675530433655]"
3,20.0,6000,5.0,0,1.1168583764620355,0.783888018935736,1.0986122377255212,0.020858895033597946,"[0.020858895033597946, 0.7963190078735352, 0.1828220784664154]"
3,12.5,8000,10.0,0,1.1168258743052102,0.7850238250808482,1.0986122397732883,0.03190184012055397,"[0.03190184012055397, 0.7141104340553284, 0.25398772954940796]"
3,20.0,8000,10.0,0,1.1258756769215403,0.7903661300799598,1.0986122647004626,0.015950920060276985,"[0.015950920060276985, 0.7828220725059509, 0.20122699439525604]"
3,8.0,4000,5.0,0,1.1318273999208321,0.792591821416024,1.0986120742405852,0.030674846842885017,"[0.030674846842885017, 0.725153386592865, 0.24417178332805634]"
3,16.0,4000,5.0,0,1.107791184793952,0.7801100186775067,1.0986121659249617,0.008588956668972969,"[0.008588956668972969, 0.8368098139762878, 0.15460123121738434]"
3,30.0,4000,5.0,0,1.131183982334254,0.7732118345477098,1.0986121950851628,0.001226993859745562,"[0.29079753160476685, 0.707975447177887, 0.001226993859745562]"
3,12.5,1000,0.5,0,1.1109958774473039,0.7627967276456166,1.09861101283325,0.009815950877964497,"[0.009815950877964497, 0.9779140949249268, 0.012269938364624977]"
