config,num_experts,tau,entropy_weight,lambda_balance,val_mse_mean,val_mse_std,val_mae_mean,val_mae_std,entropy_mean,entropy_std,min_usage_soft_mean,min_usage_soft_std,min_usage_hard_mean,min_usage_hard_std
E2_T12.5_EW2000_LB10.0,2,12.5,2000.0,10.0,1.0285180292734095,0.009767835938906403,0.7353449925323207,0.002850889501522917,0.6931471147852069,4.0178371126286055e-08,0.4989217321077983,0.0006758465662278861,0.017177913648386795,0.020111722721742657
E2_T12.5_EW2000_LB0.2,2,12.5,2000.0,0.2,1.0287612050588877,0.0049243260825273276,0.7350197556560025,0.003653859499469818,0.6931471052915072,5.589401593364058e-08,0.4989513158798218,0.0007147258283218566,0.004089979454874992,0.002892052207455766
E2_T20.0_EW3000_LB10.0,2,20.0,3000.0,10.0,1.029515783772147,0.012105316523646131,0.7356455639339906,0.0022969450854996923,0.6931471536680708,2.0265368635477546e-08,0.49917227029800415,0.00047496919465359847,0.015541922689105073,0.020244366494885837
E2_T12.5_EW2000_LB1.0,2,12.5,2000.0,1.0,1.0302277852177377,0.005995141618628907,0.7378815382292422,0.004548817304879117,0.6931471078457365,5.810551420812844e-08,0.49895312388737995,0.0007141967661776393,0.003680981540431579,0.0026506096452566554
E2_T12.5_EW1500_LB2.0,2,12.5,1500.0,2.0,1.0302519271710169,0.0064826394711027255,0.7368480934687187,0.0010932475842105156,0.6931470177500917,8.825377777302177e-08,0.49782151977221173,0.0012189260472797352,0.0,0.0
E2_T12.5_EW2000_LB5.0,2,12.5,2000.0,5.0,1.0308068473402463,0.005639963876802483,0.7367790240207821,0.004148343135597825,0.693147105855577,5.644098900416722e-08,0.4989537000656128,0.000704430969224025,0.008179958793334663,0.006670554446316013
E2_T12.5_EW2000_LB2.0,2,12.5,2000.0,2.0,1.0308237318612317,0.007175671010288068,0.7364936998529181,0.002308649411186121,0.6931471158795756,4.225891485814536e-08,0.4989553689956665,0.0007134352881429092,0.013496931991539896,0.014825822561471037
E2_T12.5_EW2000_LB0.5,2,12.5,2000.0,0.5,1.031688844694438,0.005868300604776245,0.7349318181810203,0.0018551450665641395,0.6931471067496621,4.17840390859534e-08,0.4989526371161143,0.0007151580892627079,0.009815950722744068,0.005301219003100926
