model,config,val_mse,val_mae,test_mse,test_mae,mean_entropy,min_usage_soft,min_usage_hard
baseline,"{""encoder_hidden"": [512, 256, 128, 64], ""head_hidden"": [], ""dropout"": 0.1, ""lr"": 0.003, ""weight_decay"": 0.0001, ""epochs"": 200, ""batch_size"": 256, ""seed"": 0, ""early_stop"": {""patience"": 25, ""min_delta"": 0.0, ""restore_best"": true}, ""scheduler"": {""enabled"": true, ""mode"": ""min"", ""factor"": 0.5, ""patience"": 8, ""min_lr"": 1e-06, ""threshold"": 0.0001}, ""mode"": ""shared"", ""input_dim"": 12, ""num_dim"": null, ""cat_dim"": null, ""device"": ""cpu"", ""freeze_encoder_epochs"": 0, ""artifact_root"": ""c:\\Users\\ydreizin\\OneDrive - NVIDIA Corporation\\Documents\\Technion\\RateAhead\\notebooks\\artifacts\\baseline""}",1.0267 +/- 0.0091,0.7290 +/- 0.0066,0.9887 +/- 0.0157,0.6906 +/- 0.0006,-,-,-
hard_moe,"{""num_experts"": 2, ""tau"": 12.5, ""entropy_weight"": 2000.0, ""lambda_balance"": 10.0}",1.0309 +/- 0.0159,0.7322 +/- 0.0108,1.0464 +/- 0.0499,0.7119 +/- 0.0230,0.6888 +/- 0.0061,0.4719 +/- 0.0335,0.0000 +/- 0.0000
