split,metric,baseline_mean,baseline_std,moe_mean,moe_std,delta_abs,delta_pct
val,MSE,1.0267305651081609,0.009100664902575436,1.030896816760728,0.015896228684205763,0.004166251652567121,0.40577847725106225
val,MAE,0.7290347779942924,0.0065694620024106505,0.7321616502383491,0.010800225267880886,0.003126872244056722,0.42890577218542547
test,MSE,0.9886546867345674,0.01568390496284064,1.0464168966206069,0.049928411995567974,0.05776220988603953,5.842506049996347
test,MAE,0.6905586485769234,0.0006287256479757873,0.7118668415967155,0.022995358433268234,0.021308193019792143,3.0856456672729022
