stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(256, 256)",2,0.2,0.003,0.0,0,1.0869107842445374,71,96
A,"(256, 256)",2,0.1,0.003,1e-05,0,1.0871481895446777,71,96
A,"(256, 128)",2,0.2,0.003,1e-05,0,1.0873102098703384,62,87
A,"(256, 128, 64)",3,0.0,0.0003,0.0001,0,1.0874461382627487,97,122
A,"(256, 128)",2,0.2,0.003,0.0,0,1.0875720530748367,62,87
A,"(512, 256, 128)",3,0.0,0.0003,1e-05,0,1.087746039032936,68,93
A,"(512, 256, 128)",3,0.0,0.0003,0.0,0,1.087746039032936,68,93
A,"(512, 256, 128)",3,0.0,0.0003,0.001,0,1.0878916680812836,68,93
A,"(256, 128, 64)",3,0.1,0.001,0.0,0,1.0879062414169312,81,106
A,"(256, 128, 64)",3,0.1,0.001,1e-05,0,1.0879062414169312,81,106
A,"(512, 256, 128)",3,0.0,0.0003,0.0001,0,1.0880169570446014,68,93
A,"(256, 128)",2,0.2,0.003,0.0001,0,1.0880507826805115,62,87
A,"(512, 512)",2,0.0,0.001,0.0,0,1.0881496220827103,58,83
A,"(512, 512)",2,0.0,0.001,1e-05,0,1.0881496220827103,58,83
A,"(512, 512)",2,0.0,0.0003,0.0001,0,1.0883596241474152,106,131
A,"(512, 256, 128, 64)",4,0.0,0.001,0.001,0,1.0884226262569427,41,66
A,"(512, 512)",2,0.0,0.0003,0.0,0,1.0884406864643097,106,131
A,"(512, 512)",2,0.0,0.0003,1e-05,0,1.0884406864643097,106,131
A,"(512, 512)",2,0.2,0.003,0.0,0,1.0884519815444946,62,87
A,"(512, 512)",2,0.0,0.001,0.001,0,1.0884582251310349,58,83
A,"(256, 256)",2,0.1,0.003,0.001,0,1.0889132618904114,43,68
A,"(512, 256, 128, 64)",4,0.0,0.001,1e-05,0,1.0889816731214523,41,66
A,"(512, 256, 128, 64)",4,0.0,0.001,0.0,0,1.0889816731214523,41,66
A,"(512, 512)",2,0.0,0.0003,0.001,0,1.0890472829341888,106,131
A,"(256, 128, 64)",3,0.1,0.001,0.0001,0,1.0891138762235641,81,106
A,"(256, 256)",2,0.2,0.003,1e-05,0,1.089182361960411,71,96
A,"(512, 256, 128, 64)",4,0.0,0.001,0.0001,0,1.089243859052658,41,66
