method,year,mse,mae,rmse,n,eval_seed,sample_frac,sample_n,run_id
zero_shot,2014,10.013184547424316,2.9761977195739746,3.164361633477488,33,16,0.2,,ebf8fa354251
zero_shot,2015,11.019171714782717,3.046678304672241,3.319513776862918,31,16,0.2,,ebf8fa354251
zero_shot,2016,11.047815322875977,3.248613119125366,3.323825404992864,32,16,0.2,,ebf8fa354251
zero_shot,2017,10.257964134216309,3.137441396713257,3.2028056660085245,27,16,0.2,,ebf8fa354251
zero_shot,2018,13.084083557128906,3.5156843662261963,3.617192773011815,29,16,0.2,,ebf8fa354251
zero_shot,2019,12.47848892211914,3.396858930587769,3.532490470209246,23,16,0.2,,ebf8fa354251
zero_shot,post_2005_plus,8.511000633239746,2.6863389015197754,2.917361930450136,437,16,0.2,,ebf8fa354251
zero_shot,2005,2.259604454040528,1.2816215753555298,1.5031980754513117,34,17,0.2,,a8e7b86670a7
zero_shot,2006,3.341862678527832,1.5785690546035769,1.8280762233910903,33,17,0.2,,a8e7b86670a7
zero_shot,2007,3.697052001953125,1.6769649982452393,1.922771957865291,31,17,0.2,,a8e7b86670a7
zero_shot,2008,5.236782550811768,2.0097193717956543,2.2884017459379304,34,17,0.2,,a8e7b86670a7
zero_shot,2009,6.7426958084106445,2.324495315551758,2.596670138544872,34,17,0.2,,a8e7b86670a7
zero_shot,2010,5.793780326843262,2.223566055297852,2.407027280037196,33,17,0.2,,a8e7b86670a7
zero_shot,2011,7.919702053070068,2.676284074783325,2.814196519980449,32,17,0.2,,a8e7b86670a7
zero_shot,2012,8.227925300598145,2.627650022506714,2.868436037390087,32,17,0.2,,a8e7b86670a7
zero_shot,2013,8.171573638916016,2.7715728282928467,2.858596445620825,32,17,0.2,,a8e7b86670a7
zero_shot,2014,8.796723365783691,2.817704439163208,2.9659270668348694,33,17,0.2,,a8e7b86670a7
zero_shot,2015,10.52286148071289,3.06129002571106,3.24389603420222,31,17,0.2,,a8e7b86670a7
zero_shot,2016,12.015628814697266,3.3878931999206543,3.466356706211475,32,17,0.2,,a8e7b86670a7
zero_shot,2017,10.576770782470703,3.181365489959717,3.252194763920313,27,17,0.2,,a8e7b86670a7
zero_shot,2018,12.607444763183594,3.4438798427581787,3.550696377217234,29,17,0.2,,a8e7b86670a7
zero_shot,2019,15.978023529052734,3.849329471588135,3.997251997191664,23,17,0.2,,a8e7b86670a7
zero_shot,post_2005_plus,8.454634666442871,2.6831977367401123,2.907685448332208,437,17,0.2,,a8e7b86670a7
zero_shot,2005,2.6738057136535645,1.4379743337631226,1.6351775786297844,34,18,0.2,,a2101110b5f8
zero_shot,2006,2.997926712036133,1.5659209489822388,1.7314521974447152,33,18,0.2,,a2101110b5f8
zero_shot,2007,2.166417360305786,1.3477684259414673,1.4718754567917036,31,18,0.2,,a2101110b5f8
zero_shot,2008,5.032756328582764,1.974737524986267,2.243380558127124,34,18,0.2,,a2101110b5f8
zero_shot,2009,5.524779319763184,2.11975646018982,2.350484911622107,34,18,0.2,,a2101110b5f8
zero_shot,2010,6.12368106842041,2.2887163162231445,2.474607255388299,33,18,0.2,,a2101110b5f8
zero_shot,2011,6.783198356628418,2.495767831802368,2.6044574015768465,32,18,0.2,,a2101110b5f8
zero_shot,2012,10.703327178955078,2.9838101863861084,3.2715939813728534,32,18,0.2,,a2101110b5f8
zero_shot,2013,8.770761489868164,2.8612422943115234,2.961547144630348,32,18,0.2,,a2101110b5f8
zero_shot,2014,8.709697723388672,2.8100290298461914,2.9512197009691894,33,18,0.2,,a2101110b5f8
zero_shot,2015,9.48365306854248,2.8751044273376465,3.0795540372824246,31,18,0.2,,a2101110b5f8
zero_shot,2016,10.74161434173584,3.225570678710937,3.2774402117713515,32,18,0.2,,a2101110b5f8
zero_shot,2017,11.052806854248049,3.2527666091918945,3.3245761916743684,27,18,0.2,,a2101110b5f8
zero_shot,2018,13.043447494506836,3.4734907150268555,3.611571333160517,29,18,0.2,,a2101110b5f8
zero_shot,2019,15.241796493530272,3.577835321426392,3.904074345287276,23,18,0.2,,a2101110b5f8
zero_shot,post_2005_plus,8.206148147583008,2.6201484203338623,2.8646375246412954,437,18,0.2,,a2101110b5f8
zero_shot,2005,2.195486307144165,1.2186871767044067,1.481717350625336,34,19,0.2,,d6f1887c0dea
zero_shot,2006,3.729621171951294,1.6980822086334229,1.9312227142282927,33,19,0.2,,d6f1887c0dea
zero_shot,2007,3.5667641162872314,1.7729097604751587,1.888587863004322,31,19,0.2,,d6f1887c0dea
zero_shot,2008,3.7658050060272217,1.705419898033142,1.9405682173083278,34,19,0.2,,d6f1887c0dea
zero_shot,2009,7.385448932647705,2.3996191024780273,2.717618246304603,34,19,0.2,,d6f1887c0dea
zero_shot,2010,5.453176498413086,2.105238437652588,2.335203738095048,33,19,0.2,,d6f1887c0dea
zero_shot,2011,6.459863662719727,2.4346566200256348,2.5416261846935178,32,19,0.2,,d6f1887c0dea
zero_shot,2012,9.341840744018555,2.7999846935272217,3.056442498071664,32,19,0.2,,d6f1887c0dea
zero_shot,2013,9.685822486877441,2.9780149459838867,3.1122054056372055,32,19,0.2,,d6f1887c0dea
zero_shot,2014,9.268925666809082,2.8930280208587646,3.044491035757715,33,19,0.2,,d6f1887c0dea
zero_shot,2015,11.12061595916748,3.1760575771331787,3.3347587557674214,31,19,0.2,,d6f1887c0dea
zero_shot,2016,11.063633918762207,3.210097074508667,3.3262041306513654,32,19,0.2,,d6f1887c0dea
zero_shot,2017,11.173402786254883,3.270475387573242,3.3426640253329203,27,19,0.2,,d6f1887c0dea
zero_shot,2018,11.665515899658203,3.331058979034424,3.415481796124553,29,19,0.2,,d6f1887c0dea
zero_shot,2019,16.261459350585938,3.840663194656372,4.03254998116402,23,19,0.2,,d6f1887c0dea
zero_shot,post_2005_plus,8.328035354614258,2.6301817893981934,2.8858335632212504,437,19,0.2,,d6f1887c0dea
