method,year,mse,mae,rmse,n,epochs,data_frac,lr,wall_time_s
full_finetune,2005,1.0362000465393066,0.7195173501968384,1.0179391173048153,170,256,0.2,0.0005,4.691618499986362
full_finetune,2006,0.7279440760612488,0.6088058352470398,0.8531963877450776,163,256,0.2,0.0005,4.691618499986362
full_finetune,2007,0.9433408379554749,0.6777411103248596,0.9712573489840244,157,256,0.2,0.0005,4.691618499986362
full_finetune,2008,0.9168487191200256,0.6590762734413147,0.9575221768293545,171,256,0.2,0.0005,4.691618499986362
full_finetune,2009,1.0737985372543335,0.7092839479446411,1.0362425089014315,171,256,0.2,0.0005,4.691618499986362
full_finetune,2010,1.0408225059509277,0.6940386891365051,1.0202070897376314,164,256,0.2,0.0005,4.691618499986362
full_finetune,2011,0.774208664894104,0.651924729347229,0.8798912801557384,160,256,0.2,0.0005,4.691618499986362
full_finetune,2012,1.129048466682434,0.7162919044494629,1.0625669233899737,162,256,0.2,0.0005,4.691618499986362
full_finetune,2013,0.5956704020500183,0.5941837430000305,0.7717968657943736,161,256,0.2,0.0005,4.691618499986362
full_finetune,2014,1.2158933877944946,0.7232025861740112,1.1026755587182,163,256,0.2,0.0005,4.691618499986362
full_finetune,2015,1.1941173076629639,0.7495376467704773,1.0927567467936146,156,256,0.2,0.0005,4.691618499986362
full_finetune,2016,0.670482873916626,0.5736934542655945,0.8188301862514754,159,256,0.2,0.0005,4.691618499986362
full_finetune,2017,0.547995388507843,0.549428403377533,0.7402671061906256,133,256,0.2,0.0005,4.691618499986362
full_finetune,2018,0.7543947696685791,0.6483232975006104,0.8685590191049651,143,256,0.2,0.0005,4.691618499986362
full_finetune,2019,1.6717408895492554,0.7831932902336121,1.2929581932720235,114,256,0.2,0.0005,4.691618499986362
full_finetune,post_2005_plus,0.9405488967895508,0.6672552227973938,0.9698190020769601,2185,256,0.2,0.0005,4.691618499986362
