method,year,sample,mse,mae,rmse,n
full_finetune,2005,0,0.8903564214706421,0.723284125328064,0.9435869972984167,34
full_finetune,2005,1,0.9783092737197876,0.6923127174377441,0.9890951793026733,34
full_finetune,2005,2,1.6630388498306274,0.9045534729957581,1.2895886358954267,34
full_finetune,2005,3,2.1329233646392822,1.095504879951477,1.4604531367487565,34
full_finetune,2005,4,0.6774306297302246,0.6550660133361816,0.8230617411411033,34
full_finetune,2005,5,0.7036627531051636,0.6721529364585876,0.8388460842759914,34
full_finetune,2005,6,1.3894107341766357,0.8327697515487671,1.1787326813899053,34
full_finetune,2005,7,1.4930154085159302,1.0139955282211304,1.2218900967419002,34
full_finetune,2005,8,0.7613548636436462,0.6412489414215088,0.8725565102866669,34
full_finetune,2005,9,0.9616961479187012,0.6798771619796753,0.980661076987713,34
full_finetune,2005,10,1.2178001403808594,0.8521172404289246,1.1035398227435471,34
full_finetune,2005,11,0.6207050681114197,0.5872280597686768,0.7878483788848079,34
full_finetune,2005,12,0.44893911480903625,0.532380223274231,0.6700291895201553,34
full_finetune,2005,13,0.8392509818077087,0.7343496084213257,0.9161064249352848,34
full_finetune,2005,14,1.556823968887329,0.8732821941375732,1.2477275218922315,34
full_finetune,2005,15,0.597064197063446,0.5984053611755371,0.7726992927804749,34
full_finetune,2005,16,0.6478878855705261,0.6170091032981873,0.8049148312526774,34
full_finetune,2005,17,1.0010454654693604,0.7689952850341797,1.0005225961812958,34
full_finetune,2005,18,1.6908752918243408,0.9493605494499207,1.3003366071230713,34
full_finetune,2005,19,1.3840808868408203,0.8073509335517883,1.176469671024638,34
full_finetune,2005,20,0.7788456082344055,0.6474140286445618,0.8825222990012238,34
full_finetune,2005,21,0.8685396909713745,0.6822665333747864,0.9319547687368601,34
full_finetune,2005,22,1.116402268409729,0.8570634126663208,1.0565993887986729,34
full_finetune,2005,23,0.80027174949646,0.6880659461021423,0.8945790906881627,34
full_finetune,2005,24,0.7346842288970947,0.6142343878746033,0.8571372287429212,34
full_finetune,2005,25,0.7681434154510498,0.6210315227508545,0.8764379130611876,34
full_finetune,2005,26,1.911488652229309,1.0484542846679688,1.3825659666827146,34
full_finetune,2005,27,0.9416833519935608,0.7293509840965271,0.9704037056779826,34
full_finetune,2005,28,0.5077749490737915,0.5462266802787781,0.712583292727097,34
full_finetune,2005,29,0.909424364566803,0.7438784241676331,0.9536374387401131,34
full_finetune,2005,30,1.3258873224258423,0.8746662139892578,1.1514718070477636,34
full_finetune,2005,31,0.7817968130111694,0.6485671401023865,0.8841927465271187,34
