method,year,sample,mse,mae,rmse,n
zero_shot,2005,0,0.7029529809951782,0.6500130295753479,0.8384229129712393,34
zero_shot,2005,1,0.9257045984268188,0.6933231353759766,0.962135436633959,34
zero_shot,2005,2,1.3232499361038208,0.7443639636039734,1.1503260129649424,34
zero_shot,2005,3,1.892882227897644,0.9113098382949829,1.3758205652982674,34
zero_shot,2005,4,0.5077633857727051,0.5834044218063354,0.7125751790321532,34
zero_shot,2005,5,0.47043120861053467,0.5381457805633545,0.6858798791410451,34
zero_shot,2005,6,0.7771324515342712,0.637779712677002,0.8815511621762354,34
zero_shot,2005,7,1.3172847032546997,0.863007128238678,1.1477302397578883,34
zero_shot,2005,8,0.7322865128517151,0.6754320859909058,0.8557374088186838,34
zero_shot,2005,9,0.7971938252449036,0.5892381072044373,0.892857113565717,34
zero_shot,2005,10,0.7319621443748474,0.650562584400177,0.8555478621180976,34
zero_shot,2005,11,0.687201976776123,0.6183207035064697,0.8289764633426712,34
zero_shot,2005,12,0.45569854974746704,0.5467464923858643,0.6750544790959223,34
zero_shot,2005,13,0.9837613105773926,0.7162837982177734,0.9918474230330956,34
zero_shot,2005,14,1.0913423299789429,0.7648285031318665,1.0446733125618473,34
zero_shot,2005,15,0.557110607624054,0.5677474141120911,0.7463984241837961,34
zero_shot,2005,16,0.381582111120224,0.4956399202346802,0.6177233289428399,34
zero_shot,2005,17,0.8185640573501587,0.653934121131897,0.904745299711559,34
zero_shot,2005,18,1.1930392980575562,0.7567298412322998,1.0922633830983972,34
zero_shot,2005,19,0.9453999996185303,0.7447879314422607,0.9723168205983739,34
zero_shot,2005,20,0.7227523326873779,0.5883727669715881,0.8501484180349793,34
zero_shot,2005,21,0.8484238982200623,0.7182568907737732,0.9210992879272366,34
zero_shot,2005,22,0.7305766940116882,0.6186227202415466,0.8547377925490882,34
zero_shot,2005,23,0.7935279011726379,0.6231951713562012,0.8908018304722088,34
zero_shot,2005,24,0.5613153576850891,0.5456655621528625,0.7492098222027586,34
zero_shot,2005,25,0.7797474265098572,0.6619265675544739,0.8830330834741454,34
zero_shot,2005,26,1.404631495475769,0.8162354826927185,1.185171504667476,34
zero_shot,2005,27,1.1278300285339355,0.7896406650543213,1.061993422076585,34
zero_shot,2005,28,0.27072128653526306,0.40641406178474426,0.5203088376486249,34
zero_shot,2005,29,0.8256305456161499,0.695882260799408,0.908642143869714,34
zero_shot,2005,30,1.0944279432296753,0.728127658367157,1.0461491018156424,34
zero_shot,2005,31,0.36362242698669434,0.5151429176330566,0.6030111333853583,34
zero_shot,2005,32,0.753296434879303,0.6045716404914856,0.8679265146769645,34
zero_shot,2005,33,0.4600883722305298,0.5426905751228333,0.6782981440565276,34
zero_shot,2005,34,0.6130741834640503,0.5167030692100525,0.7829905385533406,34
zero_shot,2005,35,1.2359066009521484,0.7469601631164551,1.1117133627658473,34
zero_shot,2005,36,1.2685080766677856,0.7336418032646179,1.1262806385034707,34
zero_shot,2005,37,0.5736894011497498,0.5898985266685486,0.7574228681190909,34
zero_shot,2005,38,0.6272159218788147,0.5785045623779297,0.7919696470691379,34
zero_shot,2005,39,0.692775547504425,0.5799369812011719,0.8323313928384686,34
zero_shot,2005,40,1.186875343322754,0.7422922253608704,1.089438086043789,34
zero_shot,2005,41,0.45512479543685913,0.5776602029800415,0.6746293763518301,34
zero_shot,2005,42,1.1458138227462769,0.7530593872070312,1.0704269348004454,34
zero_shot,2005,43,0.33166947960853577,0.4432417154312134,0.5759075269594379,34
