train_loss,val_loss,train_mse,val_mse,train_mae,val_mae
4.247820695241292,3.748825192451477,4.718619847297669,1.6138584911823273,1.7214402039845784,0.9024309366941452
3.6723288377126058,3.5334901213645935,1.6003063678741456,1.4142587184906006,0.8987586379051209,0.8683701157569885
3.5208685398101807,3.4412474632263184,1.3415112018585205,1.3041776418685913,0.8272866129875183,0.8214528411626816
3.4177268664042155,3.417840301990509,1.1963749647140502,1.2574653178453445,0.7678675651550293,0.815854400396347
3.3699299971262615,3.3706312775611877,1.1430260419845581,1.2197324186563492,0.7470621267954508,0.7921095937490463
3.3413381576538086,3.358676016330719,1.1130470911661783,1.1843407154083252,0.733601967493693,0.7635649293661118
3.315101448694865,3.3592052459716797,1.0819191694259644,1.2309639006853104,0.7193299849828084,0.8012302368879318
3.2943305492401125,3.3488309383392334,1.0742316603660584,1.1984132379293442,0.7193551023801168,0.7836974114179611
3.288400729497274,3.3407734632492065,1.064077377319336,1.2103664875030518,0.7073662201563518,0.7953773438930511
3.2684497038523355,3.3499487042427063,1.0299174467722574,1.1676559746265411,0.7015477021535238,0.7825211882591248
3.2683221181233724,3.3504623770713806,1.0584806124369304,1.1780980378389359,0.7103469093640645,0.7809812724590302
3.257322343190511,3.3463053703308105,1.009895928700765,1.1985822468996048,0.6953021923700968,0.7897243350744247
3.2544805367787677,3.3397605419158936,1.0166473666826883,1.1673685312271118,0.6934497435887654,0.7720499783754349
3.2418723583221434,3.347081184387207,0.995155131816864,1.2129110097885132,0.6900032560030619,0.7781178057193756
3.22013463973999,3.333342969417572,0.9737953503926595,1.2611231207847595,0.6757688045501709,0.8001164793968201
3.218397331237793,3.3279826045036316,0.9736552755037944,1.2054868340492249,0.6826907475789388,0.7822522819042206
3.2172847747802735,3.3328007459640503,0.9661439379056295,1.1964261084794998,0.6774725834528605,0.7793840169906616
3.2132733186086018,3.334005653858185,0.9646800637245179,1.2003989815711975,0.678356158733368,0.7665737867355347
3.1860867977142333,3.3707579374313354,0.9530782143274943,1.244702696800232,0.6681781729062398,0.7880350798368454
3.19864764213562,3.3576602935791016,0.9562228798866272,1.2146052569150925,0.6784897208213806,0.7912851125001907
3.1951469739278155,3.346864402294159,0.9530718445777893,1.2111613154411316,0.6699025392532348,0.7976686209440231
3.1702115217844646,3.338441014289856,0.9079662799835205,1.1995607614517212,0.6568559805552164,0.7652747929096222
