Model,Best Val MSE,Best Val MAE,Final Val MSE,Final Val MAE,Trainable Parameters,Avg Time/Epoch (s),Input Dim,MSE Delta from Baseline (%)
All Features (Baseline),1.0052165961704371,0.7101500341497315,1.0835137677338957,0.7622584805166794,43905,0.10626343965530395,211,0.0
Financial (Economic Context),1.141901495997891,0.7758111310151458,1.1836663930694018,0.809537585673888,22913,0.2056877875328064,47,13.597557018873434
Creative (Core Talent),2.754629984662577,1.26022619703796,2.9450470906825155,1.3485179316046778,35713,0.3110480284690857,147,174.0334764822687
Metadata (Cataloging Specs),2.6274195384394172,1.2575987646184816,2.6938518500766873,1.3013005356115797,19073,0.40950042963027955,17,161.37844803289852
